case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g2,5,229,3,0.00013333333
abe 20250409,g2,5,236,1,4.4444444e-05
abe 20250409,g2,5,243,1,4.4444444e-05
abe 20250409,g2,5,253,1,4.4444444e-05
abe 20250409,g2,5,291,4,0.00017777778
abe 20250409,g2,5,311,1,4.4444444e-05
abe 20250409,g2,5,318,2,8.8888889e-05
abe 20250409,g2,5,321,4,0.00017777778
abe 20250409,g2,5,364,2,8.8888889e-05
abe 20250409,g2,5,381,3,0.00013333333
abe 20250409,g2,5,390,2,8.8888889e-05
abe 20250409,g2,5,395,1,4.4444444e-05
abe 20250409,g2,5,412,3,0.00013333333
abe 20250409,g2,5,418,1,4.4444444e-05
abe 20250409,g2,5,429,1,4.4444444e-05
abe 20250409,g2,5,433,1,4.4444444e-05
abe 20250409,g2,5,437,3,0.00013333333
abe 20250409,g2,5,442,4,0.00017777778
abe 20250409,g2,5,446,5,0.00022222222
abe 20250409,g2,5,448,2,8.8888889e-05
abe 20250409,g2,5,451,2,8.8888889e-05
abe 20250409,g2,5,456,4,0.00017777778
abe 20250409,g2,5,457,1,4.4444444e-05
abe 20250409,g2,5,459,1,4.4444444e-05
abe 20250409,g2,5,467,4,0.00017777778
abe 20250409,g2,5,474,1,4.4444444e-05
abe 20250409,g2,5,492,1,4.4444444e-05
abe 20250409,g2,5,494,2,8.8888889e-05
abe 20250409,g1,10,1,9,0.0004
abe 20250409,g1,10,2,11,0.00048888889
abe 20250409,g1,10,6,6,0.00026666667
abe 20250409,g1,10,8,11,0.00048888889
abe 20250409,g1,10,15,1,4.4444444e-05
abe 20250409,g1,10,18,2,8.8888889e-05
abe 20250409,g1,10,22,8,0.00035555556
abe 20250409,g1,10,23,19,0.00084444444
abe 20250409,g1,10,25,1,4.4444444e-05
abe 20250409,g1,10,26,1,4.4444444e-05
abe 20250409,g1,10,35,10,0.00044444444
abe 20250409,g1,10,36,10,0.00044444444
abe 20250409,g1,10,37,4,0.00017777778
abe 20250409,g1,10,40,12,0.00053333333
abe 20250409,g1,10,42,7,0.00031111111
abe 20250409,g1,10,46,7,0.00031111111
abe 20250409,g1,10,47,8,0.00035555556
abe 20250409,g1,10,48,3,0.00013333333
abe 20250409,g1,10,53,4,0.00017777778
abe 20250409,g1,10,55,3,0.00013333333
abe 20250409,g1,10,57,3,0.00013333333
abe 20250409,g1,10,64,6,0.00026666667
abe 20250409,g1,10,65,4,0.00017777778
abe 20250409,g1,10,69,2,8.8888889e-05
abe 20250409,g1,10,75,6,0.00026666667
abe 20250409,g1,10,77,9,0.0004
abe 20250409,g1,10,78,15,0.00066666667
abe 20250409,g1,10,80,6,0.00026666667
abe 20250409,g1,10,82,4,0.00017777778
abe 20250409,g1,10,95,11,0.00048888889
abe 20250409,g1,10,113,3,0.00013333333
abe 20250409,g1,10,114,3,0.00013333333
abe 20250409,g1,10,130,4,0.00017777778
abe 20250409,g1,10,140,4,0.00017777778
abe 20250409,g1,10,161,1,4.4444444e-05
abe 20250409,g1,10,166,6,0.00026666667
abe 20250409,g1,10,173,4,0.00017777778
abe 20250409,g1,10,179,5,0.00022222222
abe 20250409,g1,10,193,12,0.00053333333
abe 20250409,g1,10,195,3,0.00013333333
abe 20250409,g1,10,199,1,4.4444444e-05
abe 20250409,g1,10,201,8,0.00035555556
abe 20250409,g1,10,202,5,0.00022222222
abe 20250409,g1,10,205,1,4.4444444e-05
abe 20250409,g1,10,209,11,0.00048888889
abe 20250409,g1,10,211,1,4.4444444e-05
abe 20250409,g1,10,212,1,4.4444444e-05
abe 20250409,g1,10,214,11,0.00048888889
abe 20250409,g1,10,220,9,0.0004
abe 20250409,g1,10,222,11,0.00048888889
abe 20250409,g1,10,235,9,0.0004
abe 20250409,g1,10,239,3,0.00013333333
abe 20250409,g1,10,249,5,0.00022222222
abe 20250409,g1,10,267,1,4.4444444e-05
abe 20250409,g1,10,274,1,4.4444444e-05
abe 20250409,g1,10,280,1,4.4444444e-05
abe 20250409,g1,10,287,3,0.00013333333
abe 20250409,g1,10,291,2,8.8888889e-05
abe 20250409,g1,10,292,3,0.00013333333
abe 20250409,g1,10,302,1,4.4444444e-05
abe 20250409,g1,10,314,1,4.4444444e-05
abe 20250409,g1,10,325,34,0.0015111111
abe 20250409,g1,10,327,5,0.00022222222
abe 20250409,g1,10,331,4,0.00017777778
abe 20250409,g1,10,336,3,0.00013333333
abe 20250409,g1,10,342,7,0.00031111111
abe 20250409,g1,10,346,4,0.00017777778
abe 20250409,g1,10,356,20,0.00088888889
abe 20250409,g1,10,357,6,0.00026666667
abe 20250409,g1,10,359,8,0.00035555556
abe 20250409,g1,10,363,2,8.8888889e-05
abe 20250409,g1,10,370,2,8.8888889e-05
abe 20250409,g1,10,376,3,0.00013333333
abe 20250409,g1,10,377,1,4.4444444e-05
abe 20250409,g1,10,389,1,4.4444444e-05
abe 20250409,g1,10,401,1,4.4444444e-05
abe 20250409,g1,10,411,1,4.4444444e-05
abe 20250409,g1,10,412,2,8.8888889e-05
abe 20250409,g1,10,416,2,8.8888889e-05
abe 20250409,g1,10,429,5,0.00022222222
abe 20250409,g1,10,432,2,8.8888889e-05
abe 20250409,g1,10,434,1,4.4444444e-05
abe 20250409,g1,10,441,3,0.00013333333
abe 20250409,g1,10,447,1,4.4444444e-05
abe 20250409,g1,10,450,5,0.00022222222
abe 20250409,g1,10,453,2,8.8888889e-05
abe 20250409,g1,10,458,4,0.00017777778
abe 20250409,g1,10,484,2,8.8888889e-05
abe 20250409,g1,10,486,6,0.00026666667
abe 20250409,g1,10,492,1,4.4444444e-05
abe 20250409,g1,10,493,1,4.4444444e-05
abe 20250409,g1,10,494,1,4.4444444e-05
abe 20250409,g1,10,510,1,4.4444444e-05
