metric,n_total,n_large,n_small,n_small_3mm,median_large,median_small,median_small_3mm,H,p_kruskal,epsilon_squared,epsilon_squared_ci_low,epsilon_squared_ci_high,bootstrap_n,bootstrap_seed
Network Complexity Score,112,49,33,30,48.6539,50.7159,47.848600000000005,1.7117210271431729,0.4249173865370407,-0.0026447612188699736,-0.017165797439644467,0.08873777412236289,10000,20260727
Caliber Uniformity Score,112,49,33,30,66.4490691,56.69698329,58.854348885,27.713410844167583,9.596421119116472e-07,0.23590285178135398,0.1120812752414742,0.3958969142611344,10000,20260727
Maturity Index,112,49,33,30,57.498,52.3732,52.8324,28.68959444023551,5.890249936715702e-07,0.2448586645893166,0.12238660254747248,0.40777579802464425,10000,20260727
