metric,label,n,icc_2_1,ci_low_2_1,ci_high_2_1,icc_3_1,ci_low_3_1,ci_high_3_1
area,MNV Area (mm²),46,0.97909418608103,0.9622883816722384,0.9882988383654511,0.9792347634438282,0.9627836303017089,0.9884566016719247
complexity,Network Complexity Score,46,0.9500299066880368,0.9130274830461867,0.9725777391691508,0.9490998817497306,0.9098618466651028,0.971511990109766
caliber_uniformity,Caliber Uniformity Score,46,-0.1072280394489704,-0.20105172276526181,0.0827257212859587,-0.15548650335763653,-0.4240876135135487,0.13825830935145772
maturity,Maturity Index,46,0.2735400141429235,0.034859922201121045,0.43345320026800893,0.3412099941149913,0.05948349187586563,0.5725907394087093
caliber_u2,Caliber Uniformity Score (U2),46,0.9248495024382059,0.8706147235243408,0.95861229282883,0.9233278466239415,0.865592606071391,0.9568364784796685
maturity_u2,Maturity Index (U2),46,0.9166959994019368,0.8569708415007119,0.9540303601932811,0.9150304221638093,0.8515294192416641,0.9520749834603858
