metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc
area,46,3,0.8591499521397153,0.68,0.93,pingouin,1.0958017215393734,0.06537414021605929,0.11427287546474243,0.859149952139715
complexity,46,3,0.8074462961775436,0.66,0.89,pingouin,194.14961824802694,11.111349590761728,35.187987301797904,0.8074462961775435
caliber_uniformity,46,3,0.4339281474870397,0.26,0.61,pingouin,265.20707716248944,33.2658190075926,312.7045042782501,0.4339281474870398
caliber_C_winsor_inv_nv_cv,46,3,0.7648311683859176,0.64,0.86,pingouin,554.7389739947255,23.196629525325058,147.37345411868907,0.7648311683859167
caliber_C_local_downweight,46,3,0.7607961748077211,0.64,0.85,pingouin,369.7260210023099,7.453057005034549,108.79342454335807,0.760796174807721
caliber_AB_cv70_skel30,46,3,0.6150317370282459,0.4,0.77,pingouin,137.47151399260719,23.295231641583115,62.7526367262256,0.6150317370282455
caliber_W_winsor_orig,46,3,0.4460775958317214,0.27,0.62,pingouin,438.5565561562307,47.11226816488877,497.4707914189015,0.4460775958317212
maturity,46,3,0.6590213855614526,0.51,0.78,pingouin,208.77462861143113,10.272779769273,97.74751388659973,0.6590213855614522
maturity_from_C,46,3,0.62195498247048,0.44,0.76,pingouin,100.97367433476192,11.004210813512435,50.370961923715214,0.6219549824704801
maturity_from_AB,46,3,0.5361804037689228,0.31,0.71,pingouin,41.978406397917645,9.744266058508865,26.56889900504948,0.5361804037689224
