metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,delta_vs_original,delta_vs_C,spearman_YY,spearman_Inoue,spearman_Osada,spearman_mean
caliber_M_cv90_dil10,46,3,0.7970514469394934,0.69,0.88,pingouin,490.7306196086785,11.125370108134398,113.82650040722959,0.7970514469394936,0.3631232994524537,0.03222027855357579,-0.028122976361701208,-0.2615479494295405,-0.16287388220783225,-0.15084826933302467
caliber_C_winsor_p25_75,46,3,0.7902427749878391,0.67,0.87,pingouin,1315.4506907556408,47.13183872643804,302.0333738722852,0.7902427749878389,0.35631462750079945,0.025411606601921544,-0.0504784256715206,-0.24566250067288833,-0.1838629489923168,-0.16000129177890857
caliber_H_locshift_inv_cv,46,3,0.7879192611621162,0.68,0.87,pingouin,527.2765945743807,0.0,144.41553603735434,0.7849974274585743,0.3539911136750765,0.02308809277619861,0.001973785682680163,-0.2536314602244009,-0.1601702235684752,-0.137275966036732
caliber_C_winsor_p10_90,46,3,0.7834943311252129,0.65,0.87,pingouin,817.141031526217,35.88494691255871,189.91842979029545,0.7834943311252129,0.34956618363817327,0.018663162739295358,-0.023936271349875193,-0.2537488912640554,-0.1682411361809901,-0.1486420995983069
caliber_C_winsor_inv_nv_cv,46,3,0.7648311683859176,0.64,0.86,pingouin,554.7389739947255,23.196629525325058,147.37345411868907,0.7648311683859167,0.3309030208988779,0.0,0.001973785682680163,-0.2536314602244009,-0.16314069081136598,-0.13826612178436226
caliber_C_soft_tanh,46,3,0.7601316579189276,0.63,0.85,pingouin,386.0174991915633,17.770936715025716,104.04135274922584,0.7601316579189279,0.3262035104318879,-0.00469951046699002,0.004748689485044712,-0.2526672833795868,-0.1612704286154795,-0.13639634083667387
caliber_M_cv55_dil25_skel20,46,3,0.7553137348752417,0.64,0.85,pingouin,140.7736434980806,1.8207613301673056,43.783304192669966,0.7553137348752422,0.321385587388202,-0.00951743351067591,-0.16521739130434782,-0.22701202590194264,-0.2662349676225717,-0.2194881282762874
caliber_M_geom_cv_dil,46,3,0.6715875119423602,0.53,0.79,pingouin,496.7175210059275,5.021728922205322,237.87772056812526,0.6715875119423595,0.23765936445532054,-0.09324365644355737,-0.17924441230839228,-0.21227638270773994,-0.31933080454861656,-0.23695053318824957
caliber_M_resid60_dil40,46,3,0.5845405148174124,0.4,0.73,pingouin,171.32983835165194,21.13676518550545,100.63513023260319,0.5845405148174122,0.15061236733037275,-0.18029065356850515,-0.04162812210915818,0.01597286463151403,-0.2308356460067838,-0.08549696782814264
caliber_M_geom_resid_dil,46,3,0.5706419724459705,0.41,0.71,pingouin,309.4902928900845,2.600220628816422,230.26407628370515,0.5706419724459707,0.1367138249589308,-0.1941891959399471,-0.03645222996957176,0.011659470017949099,-0.306357411444494,-0.11038339046537222
caliber_D_inv_dilated,46,3,0.5546871165348044,0.36,0.71,pingouin,503.89556911105575,81.39061912295273,323.1458883192578,0.5546871165348042,0.12075896904776473,-0.21014405185111318,-0.353238758321569,-0.18187424844442293,-0.3730207455716735,-0.3027112507792218
caliber_AB_cv70_skel30,46,3,0.5328062869536522,0.3,0.71,pingouin,105.43629317147969,27.313622636118993,65.13868977608793,0.5328062869536515,0.0988781394666125,-0.2320248814322654,0.07924761023743447,-0.13647856922602528,-0.13771199506629664,-0.06498098468496248
