metric,n,k,icc_2_1,ci_low,ci_high,source,var_case,var_observer,var_error,icc_vc,delta_vs_original,delta_vs_C,spearman_mean,score_median,score_mean
Caliber Uniformity Score,46,3,0.4339281474870397,0.26,0.61,pingouin,265.20707716248944,33.2658190075926,312.7045042782501,0.4339281474870398,0.0,-0.3309030208988779,1.0,51.525430280126116,50.333780676883954
caliber_C_winsor_inv_nv_cv,46,3,0.7648311683859176,0.64,0.86,pingouin,554.7389739947255,23.196629525325058,147.37345411868907,0.7648311683859167,0.3309030208988779,0.0,-0.13826612178436226,50.00233619265812,53.52757643968157
caliber_U2_softcv_dil,46,3,0.8377183398566039,0.75,0.9,pingouin,309.181871112137,0.0,60.18592613070737,0.8370569210960814,0.40379019236956426,0.07288717147068635,-0.2076883544043581,45.99844751392145,50.142663796522235
caliber_U2_device_std,46,3,0.7696282848783416,0.66,0.86,pingouin,229.48369362018067,0.0,68.94268981760638,0.768979240295693,0.3357001373913019,0.004797116492423981,-0.20546818789186969,64.08154643187775,67.24755206775934
caliber_U2_device_soft,46,3,0.7513868646417943,0.63,0.84,pingouin,156.1116603333692,0.0,52.6125311963885,0.7479327584848373,0.3174587171547546,-0.01344430374412331,-0.20476924658238257,55.57038869488828,57.212075951527396
